price,model,date
4764294.5,xgboost,2026-04-26 13:04
4730332.5,xgboost,2026-04-26 13:08
4846500.0,xgboost,2026-04-26 13:32
7385017.096204032,linear_regression,2026-04-26 13:50
5570670.0,random_forest,2026-04-26 23:13
5429357.5,random_forest,2026-04-27 00:38
